CRN,instructor_id,catalog_desc_id,course_offering_id,cap,act,rem
58124,10,275.0,12655,25,28,-3
58125,10,275.0,12656,25,24,1
58101,9,313.0,12657,22,23,-1
58102,9,313.0,12658,20,23,-3
58202,9,313.0,12659,22,22,0
58103,772,365.0,12660,22,23,-1
58104,14,365.0,12661,22,24,-2
58203,14,365.0,12662,22,20,2
58419,18,92.0,12664,15,14,1
58219,23,28.0,12665,20,20,0
58081,34,163.0,12667,20,20,0
58001,40,75.0,12670,20,16,4
58156,671,76.0,12672,0,20,-20
58186,671,76.0,12673,0,22,-22
58155,672,174.0,12675,20,18,2
58341,698,175.0,12677,20,17,3
58187,61,213.0,12678,0,22,-22
58188,61,213.0,12679,0,20,-20
58342,49,214.0,12680,25,23,2
58085,52,252.0,12681,16,14,2
58086,52,253.0,12682,16,14,2
58110,70,3.0,12687,20,13,7
58123,105,1670.0,12704,20,19,1
58004,111,1909.0,12705,20,17,3
58018,814,1483.0,12712,12,12,0
58019,678,1485.0,12713,20,12,8
58021,1001,1689.0,12715,15,13,2
58055,815,1790.0,12716,19,20,-1
58381,117,1869.0,12717,20,11,9
58007,128,1369.0,12720,0,14,-14
58368,127,1369.0,12721,20,12,8
58008,132,1477.0,12723,20,18,2
58022,679,1566.0,12725,27,27,0
58023,143,1853.0,12727,30,29,1
58024,712,1854.0,12728,22,22,0
58025,140,1854.0,12729,23,23,0
58382,977,1914.0,12730,22,20,2
58026,976,1915.0,12731,26,27,-1
58254,816,1383.0,12736,25,25,0
58388,155,,12737,20,18,2
58390,816,1719.0,12739,20,13,7
58348,19,1505.0,12747,20,14,6
58350,180,1984.0,12748,20,15,5
58351,216,2026.0,12751,20,17,3
58163,231,1126.0,12757,15,11,4
58106,128,1730.0,12762,25,12,13
58107,239,1820.0,12763,25,13,12
58113,273,857.0,12767,20,14,6
58192,792,186.0,12780,0,15,-15
58200,298,1324.0,12784,25,15,10
58108,299,1325.0,12785,18,18,0
58164,304,1637.0,12786,25,19,6
58204,313,739.0,12788,25,19,6
58333,313,802.0,12789,20,21,-1
58109,311,1087.0,12792,25,11,14
58402,869,1116.0,12794,25,23,2
58029,316,1117.0,12795,20,19,1
58251,319,1185.0,12798,20,18,2
58032,321,1263.0,12799,20,18,2
58033,315,1264.0,12800,20,13,7
58013,342,867.0,12814,25,14,11
58352,345,1082.0,12816,20,13,7
58450,345,1082.0,12817,20,12,8
58420,159,,12818,12,12,0
58236,368,1187.0,12827,20,20,0
58060,375,770.0,12830,60,57,3
58061,419,835.0,12831,60,57,3
58063,374,838.0,12833,60,59,1
58064,385,906.0,12834,20,19,1
58179,381,906.0,12835,20,20,0
58180,383,906.0,12836,20,20,0
58065,376,907.0,12837,60,59,1
58070,380,1045.0,12846,60,58,2
58071,820,1046.0,12847,15,13,2
58182,383,1046.0,12848,15,15,0
58183,374,1046.0,12849,15,15,0
58454,377,1046.0,12850,15,15,0
58072,389,1113.0,12851,18,16,2
58208,876,1181.0,12854,51,48,3
58074,399,1351.0,12863,51,51,0
58080,374,1442.0,12871,51,48,3
58190,43,1443.0,12872,51,48,3
58377,425,1760.0,12874,40,22,18
58126,387,1761.0,12875,38,36,2
58127,399,1844.0,12876,42,38,4
58128,372,1845.0,12877,20,17,3
58216,387,1904.0,12878,15,13,2
58129,634,1907.0,12879,15,14,1
58130,389,1956.0,12880,25,23,2
58132,51,2066.0,12883,15,15,0
58133,426,2067.0,12884,30,16,14
58134,420,2067.0,12885,30,14,16
58135,420,604.0,12888,15,15,0
58136,420,605.0,12889,15,15,0
58137,688,608.0,12890,15,15,0
58138,420,671.0,12891,15,14,1
58139,429,735.0,12892,15,15,0
58114,430,463.0,12895,20,16,4
58397,912,529.0,12896,20,17,3
58097,459,535.0,12900,20,19,1
58239,457,593.0,12901,25,24,1
58240,457,594.0,12902,25,21,4
58243,638,525.0,12908,20,13,7
58017,478,526.0,12910,15,14,1
58040,485,1346.0,12913,15,11,4
58042,157,1437.0,12915,20,17,3
58257,151,1440.0,12917,11,11,0
58447,881,412.0,12920,15,12,3
58398,430,306.0,12924,20,15,5
58400,691,449.0,12925,20,19,1
58399,928,451.0,12926,20,21,-1
58391,1010,516.0,12930,20,12,8
58189,963,559.0,12931,25,13,12
58099,492,559.0,12932,20,18,2
58444,492,559.0,12933,20,19,1
58100,645,943.0,12935,20,19,1
58150,645,943.0,12936,20,17,3
58338,520,586.0,12941,12,14,-2
58046,829,414.0,12943,20,11,9
58047,151,416.0,12944,20,13,7
58457,656,416.0,12945,20,16,4
58269,658,611.0,12948,20,16,4
58334,698,,12955,30,24,6
58162,12,238.0,12961,22,16,6
74177,1,2333.0,12963,0,28,-28
74194,4,2333.0,12964,0,32,-32
